,Species,Block,Street,Trap,Latitude,Longitude,WnvPresent,month,day,day_of_year,week,Station,Tmax,Tmin,Tavg,Depart,Heat,Cool,PrecipTotal,DayLength_MPrec,DayLength_NearH,NightLength_MPrec,NightLength_NearH,Sunrise_hours,Sunset_hours,blended_Tmax,blended_Tmin,blended_Depart,blended_Heat,blended_Cool,blended_PrecipTotal
49,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
51,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
53,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
55,CULEX PIPIENS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
57,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
59,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
61,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
63,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
65,CULEX PIPIENS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
67,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
69,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
71,CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
73,CULEX PIPIENS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
75,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
77,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
79,CULEX RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
81,CULEX RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
83,CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
85,CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,41.720848,-87.666014,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
87,CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
89,CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
91,CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
93,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
95,CULEX RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
97,CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
99,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
101,CULEX RESTUANS,91, W HIGGINS AVE,T009,41.981964,-87.812827,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
103,CULEX RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
105,CULEX RESTUANS,72, N OKETO AVE,T016,42.011601,-87.811506,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
107,CULEX RESTUANS,38, N CALIFORNIA AVE,T019,41.94983,-87.698457,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
109,CULEX RESTUANS,49, W BALMORAL AVE,T025,41.979243,-87.750938,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
111,CULEX RESTUANS,58, N WESTERN AVE,T028,41.986921,-87.689778,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
113,CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,41.801498,-87.763416,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
115,CULEX RESTUANS,14, N HUMBOLDT DR,T033,41.906638,-87.701431,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
117,CULEX RESTUANS,10, S VINCENNES,T089,41.723195,-87.64997,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
119,CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
121,CULEX RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
123,CULEX PIPIENS/RESTUANS,11, S STATE ST,T092,41.869216,-87.627561,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
125,CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
127,CULEX RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
129,CULEX PIPIENS,42, W 127TH PL,T135,41.662014,-87.724608,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
131,CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
133,CULEX RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
135,CULEX PIPIENS/RESTUANS,40, N AUSTIN AVE,T142,41.953067,-87.776792,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
137,CULEX RESTUANS,40, N AUSTIN AVE,T142,41.953067,-87.776792,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
139,CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,41.878114,-87.629798,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
141,CULEX PIPIENS/RESTUANS,42, N RICHMOND ST,T146,41.958271,-87.702575,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
143,CULEX RESTUANS,42, N RICHMOND ST,T146,41.958271,-87.702575,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
145,CULEX RESTUANS,28, N FRANCISCO AVE,T147,41.932094,-87.700117,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
147,CULEX PIPIENS/RESTUANS,15, W GRANVILLE AVE,T149,41.994469,-87.667736,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
149,CULEX RESTUANS,18, W FARWELL AVE,T150,42.006858,-87.675919,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
151,CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
153,CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
155,CULEX RESTUANS,25, S MILLARD AVE,T152,41.846075,-87.716277,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
157,CULEX RESTUANS,21, N LAWLER AVE,T154,41.918705,-87.752329,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
159,CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
161,CULEX RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
163,CULEX PIPIENS/RESTUANS,93, S DR MARTIN LUTHER KING JR DR,T162,41.725517,-87.614258,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
165,CULEX PIPIENS/RESTUANS,37, N KEDVALE AVE,T218,41.948167,-87.730698,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
167,CULEX RESTUANS,37, N KEDVALE AVE,T218,41.948167,-87.730698,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
169,CULEX RESTUANS,45, N CAMPBELL AVE,T220,41.963976,-87.69181,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
171,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
173,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
175,CULEX SALINARIUS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
177,CULEX PIPIENS/RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
179,CULEX RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
181,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
183,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
185,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
187,CULEX PIPIENS/RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
189,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
191,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
193,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
195,CULEX RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
197,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
199,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
201,CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
203,CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
205,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
207,CULEX RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
209,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
211,CULEX RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,6,26,177,26,2,91,73,82.0,10,0,17,0.005,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
